issn;e_issn;title;short_title
2090-6781;2090-679X;Case reports in pathology;Case Rep Pathol
1545-5971;1941-0018;IEEE transactions on dependable and secure computing;IEEE Trans Dependable Secure Comput
1865-5041;1865-5076;Memo;Memo
1464-9365;1470-1197;Social;Soc Cult Geogr
1687-9384;1687-9392;International journal of optics;Int J Opt
2164-2842;2164-2869;Open journal of nephrology;Open J Nephrol
2211-8160;2211-8179;Global heart;Glob Heart
0030-1299;1600-0706;Oikos;Oikos
1738-1843;2092-8920;Korean journal of pathology;Korean J Pathol
1735-7497;2008-2746;Iranian endodontic journal;Iran Endod J
1828-695X;2049-6958;Multidisciplinary respiratory medicine;Multidiscip Respir Med
1935-7877;1935-7885;Journal of microbiology;J Microbiol Biol Educ
2090-2085;2090-2093;Schizophrenia research and treatment;Schizophr Res Treatment
1757-1472;1757-1480;London journal of primary care;London J Prim Care
2234-1900;2234-3164;Radiation oncology journal;Radiat Oncol J
1091-5397;1536-593X;ACSM;ACSMs Health Fit J
1531-4065;;African journal of drug and alcohol studies;Afr J Drug Alcohol Stud
1566-1199;1878-5530;Organic electronics;Org Electron
1567-1739;1878-1675;Current applied physics;Curr Appl Phys
2090-6668;2090-6676;Case reports in neurological medicine;Case Rep Neurol Med
2164-3342;;Proceedings of the European Conference on Antennas and Propagation;Proc Eur Conf Antennas Propag
2162-3945;2162-397X;Adipocyte;Adipocyte
1544-8444;1544-8452;Population;Popul Space Place
2261-3684;2261-2211;Medecine et sante tropicales;Med Sante Trop
0253-0716;1735-3688;Iranian journal of medical sciences;Iran J Med Sci
2249-782X;0973-709X;Journal of clinical and diagnostic research;J Clin Diagn Res
1044-7946;1943-2704;Wounds;Wounds
1520-9202;1941-045X;IT professional;IT Prof
1759-2879;1759-2887;Research synthesis methods;Res Synth Methods
2040-5235;;ISSBD bulletin;ISSBD Bull
2211-5501;2211-551X;Current biotechnology;Curr Biotechnol
2146-4596;2146-460X;Journal of pediatric genetics;J Pediatr Genet
1949-3053;1949-3061;IEEE transactions on smart grid;IEEE Trans Smart Grid
1018-6182;;Journal of the Institute of Agriculture and Animal Science;J Inst Agric Anim Sci
1016-0582;1996-8612;Banko janakari;Banko Janakari
2052-3815;2052-3823;Oncology;Oncol Hematol Rev
1923-2861;1923-287X;Journal of endocrinology and metabolism;J Endocrinol Metab
1609-0985;;Journal of medical and biological engineering;J Med Biol Eng
1861-2032;1861-2040;Journal on data semantics;J Data Semant
1807-8338;;Revista brasileira de analise do comportamento;Rev Bras Anal Comport
1879-6397;1879-6400;Journal of Huntington;J Huntingtons Dis
2047-2919;2047-2927;Andrology;Andrology
2008-6520;2008-6814;The international journal of occupational and environmental medicine;Int J Occup Environ Med
0899-8299;2160-9829;The Journal of IMA;J IMA
2159-2527;2159-2535;Biomatter;Biomatter
2193-8210;2190-9172;Dermatology and therapy;Dermatol Ther
2047-2978;2047-2986;Journal of global health;J Glob Health
0303-3295;1688-0390;La Revista medica del Uruguay;Rev Med Urug
1091-028X;1934-0508;Journal of porous media;J Porous Media
1539-445X;1539-4468;Soft materials;Soft Mater
1552-9533;1552-9541;Minnesota journal of law;Minn J Law Sci Technol
0034-0006;1467-9329;Ratio;Ratio
1572-3097;1875-824X;Review of finance;Rev Financ
0098-6445;1563-5201;Chemical engineering communications;Chem Eng Commun
0256-8543;2150-2641;Journal of research in childhood education;J Res Child Educ
2210-6766;2210-6774;Adolescent psychiatry;Adolesc Psychiatry
2157-9083;2157-9091;Journal of biomaterials and tissue engineering;J Biomater Tissue Eng
0885-6257;;European journal of special needs education;Eur J Spec Needs Educ
1545-0279;2160-2492;SMPTE motion imaging journal;SMPTE Motion Imaging J
2325-372X;;Proceedings;Proc IEEE Int Conf Escience
1815-4654;1815-7556;International journal of central banking;Int J Cent Bank
0958-9236;1465-3869;Journal of gender studies;J Gend Stud
1341-0903;;Kokusai kyoryoku kenkyushi;Kokusai Kyoryoku Kenkyushi
1526-7431;1532-7698;Journal of family communication;J Fam Commun
2157-5398;;Advances in medicine and biology;Adv Med Biol
1023-1757;;Alternation;Alternation
1986-8669;1986-8677;Contemporary materials;Contemp Mater
0305-0548;1873-765X;Computers;Comput Oper Res
2090-9063;2090-9071;Journal of chemistry;J Chem
0003-8628;;Architectural science review;Archit Sci Rev
2210-6006;2210-6014;Journal of epidemiology and global health;J Epidemiol Glob Health
0144-8188;1873-6394;International review of law and economics;Int Rev Law Econ
1461-670X;;Journalism studies;Journal Stud
1758-3799;1758-3802;European gastroenterology;Eur Gastroenterol Hepatol Rev
1092-4221;1943-5223;International journal of pharmaceutical compounding;Int J Pharm Compd
2146-3123;2146-3131;Balkan medical journal;Balkan Med J
2157-6904;2157-6912;ACM transactions on intelligent systems and technology;ACM Trans Intell Syst Technol
0170-0839;1436-2449;Polymer bulletin;Polym Bull
1895-1058;1644-3640;Central European journal of medicine;Cent Eur J Med
2191-1630;2191-1649;BioNanoScience;Bionanoscience
2162-4046;2162-4054;Worm;Worm
1861-6585;;Forum implantologicum;Forum Implantol
1051-1482;2152-050X;Housing policy debate;Hous Policy Debate
1671-7694;;Chinese optics letters;Chin Opt Lett
1544-0389;2157-894X;Journal of college teaching and learning;J Coll Teach Learn
0353-8109;1986-5988;Acta informatica medica;Acta Inform Med
2234-8565;2287-3139;Journal of cerebrovascular and endovascular neurosurgery;J Cerebrovasc Endovasc Neurosurg
1598-866X;2234-0742;Genomics;Genomics Inform
1971-3495;1876-7931;Journal of ultrasound;J Ultrasound
2234-7518;2005-372X;Korean journal of orthodontics;Korean J Orthod
2008-3866;2008-3874;Iranian journal of basic medical sciences;Iran J Basic Med Sci
2162-3988;2162-3996;JAK;JAKSTAT
2090-6749;2090-6757;Case reports in orthopedics;Case Rep Orthop
2090-6463;2090-6471;Case reports in dermatological medicine;Case Rep Dermatol Med
2090-6943;2090-6951;Case reports in transplantation;Case Rep Transplant
2231-0770;2249-4464;Avicenna journal of medicine;Avicenna J Med
2141-9248;2277-9205;Annals of medical and health sciences research;Ann Med Health Sci Res
2229-5178;2249-5673;Indian dermatology online journal;Indian Dermatol Online J
1895-4588;2299-0054;Wideochirurgia i inne techniki malo inwazyjne;Wideochir Inne Tech Malo Inwazyjne
1738-3536;2005-6184;Tuberculosis and respiratory diseases;Tuberc Respir Dis
2212-2761;2212-277X;Perspectives on medical education;Perspect Med Educ
2090-3219;2090-3227;Leukemia research and treatment;Leuk Res Treatment
2299-0631;;Annals of parasitology;Ann Parasitol
1074-8016;;Volta voices;Volta Voices
1475-7435;1741-8151;International journal of nanotechnology;Int J Nanotechnol
1931-3918;1931-3926;Training and education in professional psychology;Train Educ Prof Psychol
2047-4830;2047-4849;Biomaterials science;Biomater Sci
2010-3638;;International journal of bioscience;Int J Biosci Biochem Bioinforma
0278-4319;1873-4693;International journal of hospitality management;Int J Hosp Manag
1740-4681;1745-5243;Journal of moral philosophy;J Moral Philos
1216-8076;1588-2624;Acta linguistica Hungarica;Acta Linguist Hung
0315-5986;1916-0615;INFOR;INFOR
1931-793X;1931-7948;The New School psychology bulletin;New School Psychol Bull
1389-1995;;Information;Inf Knowl Syst Manage
2156-342X;2156-3446;IEEE transactions on terahertz science and technology;IEEE Trans Terahertz Sci Technol
1940-7475;1940-7483;Perspectives on augmentative and alternative communication;Perspect Augment altern commun
2154-1663;2154-1671;Hospital pediatrics;Hosp Pediatr
0885-2308;1095-8363;Computer speech;Comput Speech Lang
1321-8719;1934-1687;Psychiatry;Psychiatr Psychol Law
0375-6742;1879-1689;Journal of geochemical exploration;J Geochem Explor
1574-1443;1574-1451;Journal of inorganic and organometallic polymers and materials;J Inorg Organomet Polym Mater
1687-6261;1687-627X;Advances in acoustics and vibration;Adv Acoust Vib
2090-309X;2090-3103;Lymphoma;Lymphoma
0883-8151;1550-6878;Journal of broadcasting;J Broadcast Electron Media
1064-8208;1944-8783;The Electrochemical Society interface;Electrochem Soc Interface
2168-3492;2169-4796;Alcohol research;Alcohol Res
0256-422X;;Journal of statistical research;J Stat Res
2194-9263;2161-962X;Epidemiologic methods;Epidemiol Method
0968-090X;1879-2359;Transportation research;Transp Res Part C Emerg Technol
0834-4825;;Journal of orthomolecular medicine;J Orthomol Med
1462-3730;2049-8543;The international journal of mental health promotion;Int J Ment Health Promot
1542-7331;1542-734X;Journal of American culture;J Am Cult
2167-8421;2167-9223;Amyotrophic lateral sclerosis;Amyotroph Lateral Scler Frontotemporal Degener
2322-1984;2322-2271;Journal of arthropod;J Arthropod Borne Dis
2228-5806;2228-5814;Cell journal;Cell J
2090-648X;2090-6498;Case reports in emergency medicine;Case Rep Emerg Med
1064-3389;;Critical reviews in environmental science and technology;Crit Rev Environ Sci Technol
0022-5371;;Journal of verbal learning and verbal behavior;J Verbal Learning Verbal Behav
1735-1065;2008-2711;Iranian journal of radiology;Iran J Radiol
1524-9050;1558-0016;IEEE transactions on intelligent transportation systems;IEEE trans Intell Transp Syst
1751-7222;;Paediatrics and child health;Paediatr Child Health
1877-1327;;Orthopaedics and trauma;Orthop Trauma
1944-4516;1944-4524;ICU director;ICU Dir
2008-2835;2008-4625;Avicenna journal of medical biotechnology;Avicenna J Med Biotechnol
1758-3829;1758-406X;European urological review;Eur Urol Rev
2146-1414;2147-1959;Molecular imaging and radionuclide therapy;Mol Imaging Radionucl Ther
2035-9411;2036-3877;Journal of medicine and the person;J Med Person
0976-7428;0976-1799;Journal of international oral health;J Int Oral Health
2168-2119;2168-2127;The International journal of targeted therapies in cancer;Int J Target Ther Cancer
1045-8077;;Journal of the Urban and Regional Information Systems Association;J Urban Reg Inf Syst Assoc
2156-8960;2156-9053;The international journal of health;Int J Health Wellness Soc
0003-9527;1432-0673;Archive for rational mechanics and analysis;Arch Ration Mech Anal
0975-9042;0976-1705;Current neurobiology;Curr Neurobiol
2169-3285;2169-3323;Social networking;Soc Netw
1009-5020;1993-5153;Geo;Geo Spat Inf Sci
0025-5610;1436-4646;Mathematical programming;Math Program
2169-1401;2169-141X;Artificial cells;Artif Cells Nanomed Biotechnol
2168-1805;2168-1813;Scandinavian journal of urology;Scand J Urol
2167-9169;2167-9177;European journal of physiotherapy;Eur J Physiother
2169-5717;2169-5725;Hearing;Hearing Balance Commun
1899-5276;;Advances in clinical and experimental medicine;Adv Clin Exp Med
2095-6975;1875-5364;Chinese journal of natural medicines;Chin J Nat Med
1888-4415;1988-8856;Revista espanola de cirugia ortopedica y traumatologia;Rev Esp Cir Ortop Traumatol
1840-1848;1840-2879;Acta medica academica;Acta Med Acad
2159-3000;2161-9344;FP essentials;FP Essent
1948-5085;1948-5093;Journal of thermal science and engineering applications;J Therm Sci Eng Appl
0195-0738;;Journal of energy resources technology;J Energy Resour Technol
0289-0771;1439-5444;Journal of ethology;J Ethol
1748-2798;1748-2801;Journal of children and media;J Child Media
1935-9705;1935-9713;Journal of gay;J Gay Lesbian Ment Health
1674-5507;;Current zoology;Curr Zool
0178-4617;1432-0541;Algorithmica;Algorithmica
0972-8422;;Trends in developmental biology;Trends Dev Biol
2162-1969;2162-1977;Open journal of physical chemistry;Open J Phys Chem
1741-5977;1741-5985;Inverse problems in science and engineering;Inverse Probl Sci Eng
0974-8601;;ICFAI University journal of genetics and evolution;ICFAI Univ J Genet Evol
1751-8113;1751-8121;Journal of physics;J Phys A Math Theor
1768-6733;2116-7176;Quantitative infrared thermography journal;Quant Infrared Thermogr J
2080-9778;2081-4836;Paladyn;Paladyn
1689-832X;2081-2841;Journal of contemporary brachytherapy;J Contemp Brachytherapy
2277-9531;2319-6440;Journal of education and health promotion;J Educ Health Promot
2163-0402;2163-0933;Neurology;Neurol Clin Pract
2325-4394;2325-4416;Medical science monitor basic research;Med Sci Monit Basic Res
2048-7193;2048-7207;Journal of the Pediatric Infectious Diseases Society;J Pediatric Infect Dis Soc
1309-4572;2146-3298;Journal of experimental and integrative medicine;J Exp Integr Med
1558-3724;1558-3716;Polymer reviews;Polym Rev
1550-4832;1550-4840;ACM journal on emerging technologies in computing systems;ACM J Emerg Technol Comput Syst
1930-0395;2168-9229;Proceedings of IEEE Sensors;Proc IEEE Sens
2193-0635;2193-0643;Photonics;Photonics Lasers Med
2162-0555;2162-0563;Chinese sociological review;Chin Sociol Rev
0301-4428;1613-4060;Theoretical linguistics;Theor Linguist
0925-8558;1572-8560;Journal of East Asian linguistics;J East Asian Ling
0254-3737;;Korean economic review;Korean Econ Rev
2045-5275;2045-5283;European oncology;Eur Oncol Haematol
1523-5882;1523-5890;Bilingual research journal;Biling Res J
2213-2198;2213-2201;The journal of allergy and clinical immunology;J Allergy Clin Immunol Pract
1948-9536;1948-9544;Translational endocrinology;Transl Endocrinol Metab
2090-522X;2090-5238;ISRN zoology;ISRN Zool
1758-5732;1758-5740;Shoulder;Shoulder Elbow
2168-6068;2168-6084;JAMA dermatology;JAMA Dermatol
2168-6076;2168-6092;JAMA facial plastic surgery;JAMA Facial Plast Surg
2168-6106;2168-6114;JAMA internal medicine;JAMA Intern Med
2168-6149;2168-6157;JAMA neurology;JAMA Neurol
2168-6165;2168-6173;JAMA ophthalmology;JAMA Ophthalmol
2168-6181;2168-619X;JAMA otolaryngology;JAMA Otolaryngol Head Neck Surg
2168-6203;2168-6211;JAMA pediatrics;JAMA Pediatr
2168-622X;2168-6238;JAMA psychiatry;JAMA Psychiatry
2168-6254;2168-6262;JAMA surgery;JAMA Surg
1016-7315;2212-5043;Journal of the Saudi Heart Association;J Saudi Heart Assoc
0898-5901;1884-7269;Laser therapy;Laser Ther
1735-1979;1735-2746;Iranian journal of environmental health science;Iranian J Environ Health Sci Eng
2287-3732;2287-3740;Clinical nutrition research;Clin Nutr Res
2234-7658;2234-7666;Restorative dentistry;Restor Dent Endod
2325-8160;2325-8179;Ophthalmic surgery;Ophthalmic Surg Lasers Imaging Retina
2049-4394;2049-4408;The bone;Bone Joint J
0834-1516;;The Canadian journal of program evaluation;Can J Program Eval
0939-5911;1664-2856;Sucht;Sucht
1192-8808;;Ruptures;Ruptures
1463-5240;2164-9545;International journal of health promotion and education;Int J Health Promot Educ
0193-0826;1540-3564;Journal of library administration;J Libr Adm
1523-3855;2167-6275;Current anesthesiology reports;Curr Anesthesiol Rep
1759-9954;1759-9962;Polymer chemistry;Polym Chem
2042-2156;;ENT;ENT Audiol News
0253-2964;1229-5949;Bulletin of the Korean Chemical Society;Bull Korean Chem Soc
2213-1779;2213-1787;JACC;JACC Heart Fail
2049-9485;2049-9493;Woodhead publishing series in biomaterials;Woodhead Publ Ser Biomater
2164-1846;2164-1862;Fatigue;Fatigue
2050-7488;2050-7496;Journal of materials chemistry;J Mater Chem A Mater Energy Sustain
1048-9843;1873-3409;The leadership quarterly;Leadersh Q
2166-2630;2166-2649;Advances in eating disorders;Adv Eat Disord
1673-3452;1673-3576;Frontiers of mathematics in China;Front Math China
2090-8334;2090-8342;Journal of drug and alcohol research;J Drug Alcohol Res
2090-6161;2090-617X;ISRN orthopedics;ISRN Orthop
2157-7323;2157-7331;IIE transactions on occupational ergonomics and human factors;IIE Trans Occup
0144-235X;1366-591X;International reviews in physical chemistry;Int Rev Phys Chem
1868-6346;1868-6354;Laboratory phonology;Lab Phonol
0219-0303;1793-6721;Asia;Asia Pac Biotech News
2325-369X;;Mediterranean Conference on Control;Mediterr Conf Control Automation
1356-3890;1461-7153;Evaluation;Evaluation
2045-452X;2045-4538;Toxicology research;Toxicol Res
2160-4096;2160-410X;Couple;Couple Family Psychol
1738-1088;2093-4327;Clinical psychopharmacology and neuroscience;Clin Psychopharmacol Neurosci
2095-3941;;Cancer biology;Cancer Biol Med
2231-0746;2249-3816;Annals of maxillofacial surgery;Ann Maxillofac Surg
1072-0847;1099-078X;Behavioral interventions;Behav Interv
1547-0350;;Education and training in developmental disabilities;Educ Train Dev Disabil
1188-9136;1917-7909;Journal on developmental disabilities;J Dev Disabl
1930-5583;2162-8629;American nurse today;Am Nurse Today
1941-8744;1941-8752;The Neurohospitalist;Neurohospitalist
